frame,track_id,class,x1,y1,x2,y2,confidence
27,5,player,608.0,610.0,641.0,639.0,0.849
27,14,player,845.0,655.0,866.0,684.0,0.845
27,8,player,1069.0,705.0,1085.0,737.0,0.842
27,17,player,839.0,783.0,865.0,814.0,0.771
27,23,player,921.0,491.0,934.0,517.0,0.76
27,2,player,1078.0,614.0,1089.0,648.0,0.751
27,15,player,1035.0,507.0,1046.0,535.0,0.672
27,16,player,921.0,548.0,934.0,571.0,0.67
27,19,player,1701.0,543.0,1720.0,571.0,0.641
27,22,player,887.0,615.0,899.0,646.0,0.64
28,3,player,1264.0,574.0,1276.0,608.0,0.886
28,6,player,592.0,549.0,610.0,578.0,0.882
28,7,player,737.0,548.0,750.0,578.0,0.88
28,17,player,834.0,782.0,863.0,817.0,0.88
28,5,player,608.0,611.0,639.0,641.0,0.858
28,8,player,1068.0,705.0,1086.0,736.0,0.845
28,2,player,1077.0,615.0,1089.0,648.0,0.793
28,23,player,920.0,491.0,932.0,516.0,0.791
28,22,player,886.0,615.0,898.0,644.0,0.778
28,14,player,841.0,655.0,859.0,681.0,0.763
28,16,player,920.0,548.0,934.0,572.0,0.741
28,21,player,931.0,600.0,945.0,629.0,0.712
28,15,player,1035.0,507.0,1046.0,537.0,0.651
28,19,player,1701.0,542.0,1720.0,571.0,0.544
29,3,player,1264.0,574.0,1276.0,607.0,0.889
29,6,player,592.0,550.0,610.0,578.0,0.884
29,7,player,737.0,548.0,750.0,578.0,0.876
29,14,player,836.0,654.0,861.0,683.0,0.87
29,2,player,1076.0,616.0,1089.0,648.0,0.855
29,17,player,829.0,785.0,856.0,816.0,0.851
29,22,player,885.0,615.0,898.0,642.0,0.831
29,23,player,919.0,495.0,930.0,516.0,0.776
29,5,player,608.0,610.0,638.0,642.0,0.765
29,16,player,919.0,548.0,932.0,571.0,0.734
29,8,player,1066.0,704.0,1082.0,737.0,0.729
29,21,player,933.0,601.0,946.0,629.0,0.663
29,15,player,1035.0,508.0,1046.0,538.0,0.578
29,19,player,1701.0,539.0,1719.0,571.0,0.577
30,3,player,1264.0,574.0,1276.0,607.0,0.896
30,6,player,592.0,550.0,610.0,578.0,0.882
30,14,player,832.0,654.0,858.0,685.0,0.879
30,2,player,1074.0,615.0,1088.0,648.0,0.878
30,7,player,738.0,548.0,750.0,578.0,0.874
30,22,player,884.0,614.0,898.0,643.0,0.845
30,24,player,963.0,510.0,976.0,537.0,0.804
30,8,player,1066.0,705.0,1083.0,737.0,0.792
30,23,player,917.0,493.0,929.0,516.0,0.783
30,5,player,607.0,610.0,637.0,643.0,0.779
30,16,player,918.0,548.0,931.0,570.0,0.739
30,17,player,827.0,784.0,850.0,816.0,0.712
30,19,player,1701.0,538.0,1718.0,571.0,0.626
30,21,player,934.0,600.0,946.0,629.0,0.577
31,3,player,1264.0,574.0,1276.0,607.0,0.898
31,6,player,592.0,550.0,610.0,578.0,0.879
31,7,player,738.0,548.0,750.0,579.0,0.876
31,2,player,1073.0,615.0,1088.0,648.0,0.872
31,22,player,883.0,614.0,897.0,643.0,0.857
31,17,player,823.0,785.0,843.0,817.0,0.843
31,14,player,830.0,655.0,853.0,684.0,0.842
31,5,player,606.0,612.0,634.0,644.0,0.827
31,8,player,1065.0,708.0,1081.0,738.0,0.786
31,24,player,963.0,510.0,977.0,536.0,0.755
31,23,player,915.0,494.0,927.0,515.0,0.745
31,16,player,917.0,547.0,929.0,570.0,0.716
31,19,player,1701.0,540.0,1714.0,570.0,0.708
31,21,player,934.0,601.0,946.0,629.0,0.602
32,3,player,1265.0,575.0,1276.0,607.0,0.892
32,6,player,591.0,550.0,610.0,578.0,0.883
32,2,player,1072.0,615.0,1088.0,648.0,0.877
32,7,player,738.0,548.0,750.0,578.0,0.869
32,22,player,882.0,614.0,896.0,643.0,0.866
32,14,player,827.0,655.0,847.0,684.0,0.837
32,5,player,605.0,611.0,630.0,646.0,0.828
32,8,player,1063.0,708.0,1078.0,739.0,0.798
32,17,player,817.0,784.0,836.0,816.0,0.776
32,24,player,964.0,510.0,978.0,537.0,0.776
32,16,player,915.0,547.0,927.0,570.0,0.675
32,19,player,1700.0,541.0,1713.0,570.0,0.675
32,21,player,933.0,601.0,946.0,630.0,0.629
33,6,player,595.0,549.0,610.0,579.0,0.885
33,3,player,1265.0,575.0,1276.0,608.0,0.884
33,2,player,1070.0,614.0,1087.0,648.0,0.873
33,22,player,881.0,614.0,896.0,643.0,0.866
33,7,player,738.0,548.0,750.0,579.0,0.866
33,17,player,812.0,784.0,834.0,817.0,0.853
33,5,player,602.0,612.0,628.0,646.0,0.845
33,14,player,825.0,656.0,841.0,684.0,0.819
33,8,player,1060.0,709.0,1077.0,739.0,0.806
33,24,player,966.0,510.0,979.0,537.0,0.785
33,21,player,933.0,601.0,946.0,630.0,0.721
33,4,player,515.0,683.0,535.0,716.0,0.65
33,19,player,1699.0,541.0,1713.0,569.0,0.605
33,16,player,913.0,547.0,926.0,572.0,0.528
34,3,player,1265.0,575.0,1277.0,608.0,0.889
34,6,player,596.0,549.0,610.0,578.0,0.879
34,7,player,738.0,548.0,750.0,579.0,0.863
34,22,player,880.0,614.0,895.0,642.0,0.853
34,2,player,1069.0,615.0,1086.0,649.0,0.849
34,8,player,1058.0,707.0,1076.0,739.0,0.834
34,5,player,600.0,612.0,628.0,646.0,0.83
34,14,player,820.0,656.0,834.0,685.0,0.814
34,17,player,808.0,785.0,832.0,814.0,0.803
34,4,player,514.0,684.0,533.0,716.0,0.797
34,24,player,969.0,512.0,981.0,538.0,0.766
34,21,player,932.0,601.0,946.0,630.0,0.746
34,19,player,1699.0,539.0,1712.0,570.0,0.694
34,23,player,909.0,490.0,922.0,517.0,0.68
34,16,player,912.0,547.0,926.0,572.0,0.593
35,3,player,1265.0,576.0,1277.0,609.0,0.862
35,7,player,738.0,549.0,750.0,579.0,0.856
35,8,player,1057.0,707.0,1076.0,738.0,0.855
35,4,player,513.0,684.0,532.0,716.0,0.844
35,14,player,814.0,656.0,832.0,685.0,0.832
35,2,player,1068.0,615.0,1085.0,649.0,0.831
35,22,player,880.0,614.0,894.0,642.0,0.831
35,6,player,598.0,549.0,610.0,579.0,0.808
35,5,player,599.0,612.0,628.0,647.0,0.8
35,21,player,931.0,600.0,946.0,629.0,0.77
35,24,player,970.0,512.0,984.0,538.0,0.738
35,19,player,1699.0,538.0,1712.0,570.0,0.714
